variety,date_submit,date_complete,reference_dec,defects2,defects3,defects4,defects5,defects6,defects7,defects8,defects9,defects10,defects11,defects12,defects13,defects14,decfile_ver,decfile_type,NOTES
gala,2025-02-06,2025-02-10,ifa,watercore_ifa,,,,,,,,,,,,,,,
gala,2025-02-11,2025-02-11,2449,russets_stem,sunburn,russets,,,,,,crack_stem,,,,,M006,BlushPLAU_PerformSundown,
packham ,2025-12-02,2025-06-03,2458,winddamage,russets,russets Calyx,sooty_mold,holes,san_jose,bruises,,,,,,,K001,PearPLAU_Performance,
gala,2025-02-18,2025-02-18,2476,leaf,yellowish,crack_stem,cuts,punctures,,,,,,,,,M010,BlushPLAU_PerformSundown,
corella,2025-02-20,2025-02-27,2484,leaf,cuts,punctures,russet _crack,sunburn_major,major,plucking,holes,,,,,,E003,RicoPearPLAU_Performance,"Notes: Not creating at new ethod from C2 to C8, requsted at 12/03/2025 for a new method"
pink_lady,21/02/2025,2025-02-28,2486,browning,russets Net,shrivel,calyx_minor,cuts,scab,dirt,,,,,,,M004,PinkLadyPLAU_PerformanceGoodLot,
gala,2025-03-06,2025-03-06,2504,Training on M010 under Rockit,,,,,,,,,,,,,N004,BlushPLAU_PerformSundown,
gala,2025-02-18,2025-02-18,ifa,firmness_ifa,,,,,,,,,,,,,,,
gala,2025-02-21,2025-02-21,ifa,firmness_ifa,,,,,,,,,,,,,,,
rockit,2025-02-26,2025-06-03,2504,decay,sunburn,russets_stem,san_jose,,,,,,,,,,N004,BlushPLAU_PerformSundown,
kanzi,2025-03-06,2025-03-06,2522,russets_stem,san_jose,sunburn,,,,,,,,,,,G018,KanziPLAU_PerformanceGoodLot,
gala,2025-03-11,2025-03-12,ifa,firmness_ifa,,,,,,,,,,,,,,,
rockit,2026-03-13,2026-03-14,2530,russets_stem,san_jose,sunburn,crack_stem,,,,,,,,,,C003,MiApplePLAU_Performance,
granny_smith,15/03/2025,19/03/2025,2536,sunburn_major,scab,marks_skin,decay_stem,decay,,,,,,,,,"V003,Y001",GrannyPLAU_Performance1,
corella,2025-03-15,2025-04-11,2537,,,,,,,,,,,,,,,,follow up DEC-2484
packham,2025-03-17,2025-03-22,2540,holes,cuts,major,shrivel,insect,decay,pests,,,,,,,L003,PearPLAU_Performance,
kanzi,2025-03-18,2025-03-20,2542,leaf,san_jose,holes_stem,sunburn,green,browning,,,,,,,,H003,KanziPLAU_PerformanceGoodLot,
kanzi,2025-03-20,2025-04-03,2556,yellowish,limrubs,sunburn_light,lenticel,,,,,,,,,,I003,KanziPLAU_PerformanceGoodLot,
pomegranate,2025-03-20,2025-03-30,2557,sunburn,scab,disease,,,,,,,,,,,D001,pomegranatePLAU_Performance,
buerre_bosc,2025-03-21,2025-03-27,2565,holes,decay_minor,decay,cuts,,,,,,,,,,E004,PearBase_Performance,Request to simplify the mode by remove some not using ones
kiwi,2025-03-26,2025-03-28,2577,limrubs,sunburn,scald,,,,,,,,,,,G001,kiwiPLAU_Performance,Error on the IQS; new dec: kiwiPLAU_Performance_G002; kiwiPLAU_Performance_G003
pomegranate,2025-03-31,2025-04-04,2586,sunburn,skin_crack,crack_stem,decay_stem,,,,,,,,,,E002,pomegranatePLAU_Performance,
gala,2025-04-01,2025-04-29,2590,sunburn,Clean from sunburn mode,sunburn_light,Normal sunburn,,,,,,,,,,"O001,O003",BlushPLAU_PerformSundown,
packham,2025-04-02,2025-04-30,2598,sunburn_dark,sunburn_light,frozen,lenticel,scald,holes,decay,cuts,sooty_mold,bruises,pits,,,O002,PearPLAU_Performance,
rico,2025-04-04,2025-05-01,2614,marks_skin,sunburn,holes,,,,,,,,,,,E008,RicoPearPLAU_Performance,
modi,2025-04-07,24/04/2025,2620,Red san_jose,russets,russets_stem,bruises,dirt,russets_net,c2defects,punctures,major,sunburn,crack_stem,,,D001,ModiPLAU_Performance,
